  *** Tramo Revision: 942  Build: 2017/09/25 09:39:13                                                           ***
"VATASA"
  DATE            Xorig                Xint                Xlin           RESIDUALS                Mean                  TD                  EE                  TO                  LS     Reg 1 (REFF = 6)
 4-2015      3508158.00          3508158.00          3323496.07        -0.501709930E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2015      4701099.00          4701099.00          4837485.58         0.733519180E-01      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2015      4837101.00          4837101.00          4700725.27        -0.592395714E-02      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 7-2015      5739835.00          5739835.00          5739835.00         0.347320489E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2015      5423483.00          5423483.00          5423483.00         0.288599703E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2015      5242571.00          5242571.00          5242571.00        -0.165268817E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2015      3965855.00          3965855.00          3965855.00        -0.423568012E-03      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2015      1813375.00          1813375.00          1813375.00        -0.101888145E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2015      1559760.00          1559760.00          1559760.00        -0.588424703E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2016      1749447.00          1749447.00          1749447.00         0.172901032E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2016      2115315.00          2115315.00          2115315.00         0.199839245E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2016      2904292.00          2904292.00          2751416.28        -0.290484620E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 4-2016      3297886.00          3297886.00          3481124.97         0.199994700E-02      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 5-2016      4768329.00          4768329.00          4633892.20        -0.511553509E-01      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
 6-2016      4628132.00          4628132.00          4762401.69         0.127621942E-01      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 7-2016      5977264.00          5977264.00          5977264.00         0.482780154E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 8-2016      5181080.00          5181080.00          5181080.00        -0.570182556E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 9-2016      5269757.00          5269757.00          5269757.00         0.928294539E-02      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
10-2016      3953062.00          3953062.00          3953062.00        -0.482571240E-03      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
11-2016      1871956.00          1871956.00          1871956.00         0.310562998E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
12-2016      1688745.00          1688745.00          1688745.00         0.439504660E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 1-2017      1829108.00          1829108.00          1829108.00         0.183654060E-03      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 2-2017      2171863.00          2171863.00          2171863.00        -0.109369846E-01      100.000000          100.000000          100.000000          100.000000          100.000000          100.000000    
 3-2017      2683241.00          2683241.00          2832328.73        -0.178471403E-01      100.000000          100.000000          94.7362139          100.000000          100.000000          100.000000    
 4-2017      4017056.00          4017056.00          3805606.76         0.572124382E-01      100.000000          100.000000          105.556256          100.000000          100.000000          100.000000    
 5-2017      4611893.00          4611893.00          4745691.57        -0.548189730E-01      100.000000          100.000000          100.000000          100.000000          100.000000          97.1806308    
 6-2017      5277890.00          5277890.00          5129086.80         0.363976515E-01      100.000000          100.000000          100.000000          100.000000          100.000000          102.901164    
